symbol,isin,trade_date,exchange,trade_type,quantity,price,order_execution_time
AAPL,US0378331005,2026-05-04,NASDAQ,buy,50,180.00,2026-05-04T09:35:00
AAPL,US0378331005,2026-05-04,NASDAQ,sell,50,183.50,2026-05-04T10:05:00
MSFT,US5949181045,2026-05-05,NASDAQ,buy,30,410.00,2026-05-05T09:40:00
MSFT,US5949181045,2026-05-05,NASDAQ,sell,30,405.00,2026-05-05T14:20:00
NVDA,US67066G1040,2026-05-06,NASDAQ,buy,20,900.00,2026-05-06T10:10:00
NVDA,US67066G1040,2026-05-06,NASDAQ,sell,20,918.00,2026-05-06T10:40:00
AAPL,US0378331005,2026-05-07,NASDAQ,buy,40,181.00,2026-05-07T09:30:00
AAPL,US0378331005,2026-05-07,NASDAQ,sell,40,179.00,2026-05-07T15:30:00
MSFT,US5949181045,2026-05-08,NASDAQ,buy,25,408.00,2026-05-08T11:00:00
MSFT,US5949181045,2026-05-08,NASDAQ,sell,25,415.00,2026-05-08T11:25:00
NVDA,US67066G1040,2026-05-11,NASDAQ,buy,15,905.00,2026-05-11T09:45:00
NVDA,US67066G1040,2026-05-11,NASDAQ,sell,15,890.00,2026-05-11T14:50:00
