symbol,isin,trade_date,exchange,segment,series,trade_type,quantity,price,trade_id,order_id,order_execution_time
RELIANCE,INE002A01018,2026-05-04,NSE,EQ,EQ,buy,50,2900.00,T1,O1,2026-05-04T09:20:00
RELIANCE,INE002A01018,2026-05-04,NSE,EQ,EQ,sell,50,2951.00,T2,O2,2026-05-04T09:45:00
RELIANCE,INE002A01018,2026-05-05,NSE,EQ,EQ,buy,40,2920.00,T3,O3,2026-05-05T09:35:00
RELIANCE,INE002A01018,2026-05-05,NSE,EQ,EQ,sell,40,2966.00,T4,O4,2026-05-05T09:53:00
RELIANCE,INE002A01018,2026-05-06,NSE,EQ,EQ,buy,60,2880.00,T5,O5,2026-05-06T10:05:00
RELIANCE,INE002A01018,2026-05-06,NSE,EQ,EQ,sell,60,2933.00,T6,O6,2026-05-06T10:35:00
RELIANCE,INE002A01018,2026-05-07,NSE,EQ,EQ,buy,45,2905.00,T7,O7,2026-05-07T09:25:00
RELIANCE,INE002A01018,2026-05-07,NSE,EQ,EQ,sell,45,2884.00,T8,O8,2026-05-07T09:47:00
RELIANCE,INE002A01018,2026-05-08,NSE,EQ,EQ,buy,55,2870.00,T9,O9,2026-05-08T09:40:00
RELIANCE,INE002A01018,2026-05-08,NSE,EQ,EQ,sell,55,2922.00,T10,O10,2026-05-08T10:00:00
INFY,INE009A01021,2026-05-04,NSE,EQ,EQ,buy,30,1450.00,T11,O11,2026-05-04T10:10:00
INFY,INE009A01021,2026-05-04,NSE,EQ,EQ,sell,30,1472.00,T12,O12,2026-05-04T10:45:00
INFY,INE009A01021,2026-05-05,NSE,EQ,EQ,buy,30,1465.00,T13,O13,2026-05-05T11:00:00
INFY,INE009A01021,2026-05-05,NSE,EQ,EQ,sell,30,1448.00,T14,O14,2026-05-05T11:40:00
INFY,INE009A01021,2026-05-06,NSE,EQ,EQ,buy,45,1440.00,T15,O15,2026-05-06T09:45:00
INFY,INE009A01021,2026-05-06,NSE,EQ,EQ,sell,45,1461.00,T16,O16,2026-05-06T10:13:00
INFY,INE009A01021,2026-05-08,NSE,EQ,EQ,buy,35,1470.00,T17,O17,2026-05-08T13:30:00
INFY,INE009A01021,2026-05-08,NSE,EQ,EQ,sell,35,1489.00,T18,O18,2026-05-08T13:55:00
TCS,INE467B01029,2026-05-05,NSE,EQ,EQ,buy,15,3850.00,T19,O19,2026-05-05T10:20:00
TCS,INE467B01029,2026-05-05,NSE,EQ,EQ,sell,15,3902.00,T20,O20,2026-05-05T10:50:00
TCS,INE467B01029,2026-05-07,NSE,EQ,EQ,buy,15,3900.00,T21,O21,2026-05-07T14:00:00
TCS,INE467B01029,2026-05-07,NSE,EQ,EQ,sell,15,3812.00,T22,O22,2026-05-07T16:00:00
HDFCBANK,INE040A01034,2026-05-04,NSE,EQ,EQ,buy,40,1680.00,T23,O23,2026-05-04T11:30:00
HDFCBANK,INE040A01034,2026-05-04,NSE,EQ,EQ,sell,40,1642.00,T24,O24,2026-05-04T14:00:00
HDFCBANK,INE040A01034,2026-05-06,NSE,EQ,EQ,buy,45,1700.00,T25,O25,2026-05-06T13:15:00
HDFCBANK,INE040A01034,2026-05-06,NSE,EQ,EQ,sell,45,1668.00,T26,O26,2026-05-06T15:30:00
HDFCBANK,INE040A01034,2026-05-09,NSE,EQ,EQ,buy,50,1655.00,T27,O27,2026-05-09T09:50:00
HDFCBANK,INE040A01034,2026-05-09,NSE,EQ,EQ,sell,50,1679.00,T28,O28,2026-05-09T10:10:00
TATAMOTORS,INE155A01022,2026-05-07,NSE,EQ,EQ,buy,100,980.00,T29,O29,2026-05-07T14:10:00
TATAMOTORS,INE155A01022,2026-05-07,NSE,EQ,EQ,sell,100,947.00,T30,O30,2026-05-07T15:40:00
TATAMOTORS,INE155A01022,2026-05-07,NSE,EQ,EQ,buy,120,950.00,T31,O31,2026-05-07T15:45:00
TATAMOTORS,INE155A01022,2026-05-07,NSE,EQ,EQ,sell,120,921.00,T32,O32,2026-05-07T16:15:00
TATAMOTORS,INE155A01022,2026-05-08,NSE,EQ,EQ,buy,200,990.00,T33,O33,2026-05-08T14:05:00
TATAMOTORS,INE155A01022,2026-05-08,NSE,EQ,EQ,sell,200,918.00,T34,O34,2026-05-08T15:55:00
TATAMOTORS,INE155A01022,2026-05-08,NSE,EQ,EQ,buy,150,920.00,T35,O35,2026-05-08T16:00:00
TATAMOTORS,INE155A01022,2026-05-08,NSE,EQ,EQ,sell,150,902.00,T36,O36,2026-05-08T16:25:00
TATAMOTORS,INE155A01022,2026-05-09,NSE,EQ,EQ,buy,130,960.00,T37,O37,2026-05-09T14:20:00
TATAMOTORS,INE155A01022,2026-05-09,NSE,EQ,EQ,sell,130,933.00,T38,O38,2026-05-09T16:00:00
TATAMOTORS,INE155A01022,2026-05-09,NSE,EQ,EQ,buy,160,935.00,T39,O39,2026-05-09T16:05:00
TATAMOTORS,INE155A01022,2026-05-09,NSE,EQ,EQ,sell,160,919.00,T40,O40,2026-05-09T16:25:00
RELIANCE,INE002A01018,2026-05-10,NSE,EQ,EQ,buy,45,2890.00,T41,O41,2026-05-10T09:30:00
RELIANCE,INE002A01018,2026-05-10,NSE,EQ,EQ,sell,45,2938.00,T42,O42,2026-05-10T09:54:00
INFY,INE009A01021,2026-05-10,NSE,EQ,EQ,buy,30,1455.00,T43,O43,2026-05-10T10:15:00
INFY,INE009A01021,2026-05-10,NSE,EQ,EQ,sell,30,1478.00,T44,O44,2026-05-10T10:48:00
TCS,INE467B01029,2026-05-11,NSE,EQ,EQ,buy,15,3820.00,T45,O45,2026-05-11T09:40:00
TCS,INE467B01029,2026-05-11,NSE,EQ,EQ,sell,15,3868.00,T46,O46,2026-05-11T10:06:00
RELIANCE,INE002A01018,2026-05-11,NSE,EQ,EQ,buy,50,2910.00,T47,O47,2026-05-11T10:00:00
RELIANCE,INE002A01018,2026-05-11,NSE,EQ,EQ,sell,50,2957.00,T48,O48,2026-05-11T10:20:00
HDFCBANK,INE040A01034,2026-05-12,NSE,EQ,EQ,buy,45,1660.00,T49,O49,2026-05-12T09:45:00
HDFCBANK,INE040A01034,2026-05-12,NSE,EQ,EQ,sell,45,1684.00,T50,O50,2026-05-12T10:07:00
